,FIRE_YEAR,STATE,NWCG_REPORTING_AGENCY,Count
744,1995,WA,NPS,36
745,1995,WA,ST/C&L,708
746,1995,WA,TRIBE,1
747,1995,WI,BIA,132
748,1995,WI,FS,22
749,1995,WI,FWS,7
750,1995,WI,ST/C&L,1475
751,1995,WV,FS,6
752,1995,WV,NPS,6
753,1995,WV,ST/C&L,1229
754,1995,WY,BIA,42
755,1995,WY,BLM,101
756,1995,WY,FS,104
757,1995,WY,FWS,2
758,1995,WY,NPS,25
759,1995,WY,ST/C&L,256
760,1996,AK,BLM,171
761,1996,AK,FS,49
762,1996,AK,FWS,1
763,1996,AK,NPS,1
764,1996,AK,ST/C&L,496
765,1996,AL,FS,96
766,1996,AL,FWS,16
767,1996,AL,NPS,3
768,1996,AL,ST/C&L,3933
769,1996,AR,FS,183
770,1996,AR,FWS,4
771,1996,AR,NPS,37
772,1996,AZ,BIA,1009
773,1996,AZ,BLM,268
774,1996,AZ,FS,1692
775,1996,AZ,FWS,15
776,1996,AZ,NPS,150
777,1996,AZ,ST/C&L,627
778,1996,CA,BIA,285
779,1996,CA,BLM,688
780,1996,CA,FS,2195
781,1996,CA,FWS,37
782,1996,CA,NPS,198
783,1996,CA,ST/C&L,5767
784,1996,CO,BIA,125
785,1996,CO,BLM,665
786,1996,CO,FS,489
787,1996,CO,FWS,6
788,1996,CO,NPS,120
789,1996,CT,ST/C&L,27
790,1996,FL,BIA,17
791,1996,FL,FS,103
792,1996,FL,FWS,25
793,1996,FL,NPS,151
794,1996,FL,ST/C&L,4399
795,1996,FL,TRIBE,2
796,1996,GA,FS,45
797,1996,GA,FWS,10
798,1996,GA,NPS,2
799,1996,GA,ST/C&L,9815
800,1996,HI,NPS,6
801,1996,HI,ST/C&L,2
802,1996,IA,BIA,25
803,1996,IA,FWS,3
804,1996,ID,BIA,4
805,1996,ID,BLM,441
806,1996,ID,FS,1198
807,1996,ID,FWS,3
808,1996,ID,NPS,1
809,1996,ID,ST/C&L,308
810,1996,ID,TRIBE,19
811,1996,IL,FS,12
812,1996,IL,FWS,9
813,1996,IN,FS,5
814,1996,IN,NPS,83
815,1996,KS,FS,7
816,1996,KS,FWS,13
817,1996,KS,ST/C&L,10
818,1996,KY,FS,70
819,1996,KY,NPS,2
820,1996,LA,FS,121
821,1996,LA,FWS,36
822,1996,MA,NPS,4
823,1996,MD,FWS,14
824,1996,MD,NPS,3
825,1996,ME,FWS,1
826,1996,ME,ST/C&L,312
827,1996,ME,TRIBE,2
828,1996,MI,FS,58
829,1996,MI,FWS,1
830,1996,MI,NPS,3
831,1996,MI,ST/C&L,324
832,1996,MN,BIA,350
833,1996,MN,FS,103
834,1996,MN,FWS,22
835,1996,MN,NPS,3
836,1996,MN,ST/C&L,1274
837,1996,MO,FS,163
838,1996,MO,FWS,2
839,1996,MO,NPS,25
840,1996,MO,ST/C&L,253
841,1996,MS,BIA,4
842,1996,MS,FS,190
843,1996,MS,FWS,23
844,1996,MS,NPS,27
845,1996,MS,ST/C&L,4679
846,1996,MT,BIA,570
847,1996,MT,BLM,135
848,1996,MT,FS,859
849,1996,MT,FWS,34
850,1996,MT,NPS,18
851,1996,MT,ST/C&L,374
852,1996,NC,BIA,15
853,1996,NC,FS,70
854,1996,NC,FWS,7
855,1996,NC,NPS,7
856,1996,NC,ST/C&L,4139
857,1996,ND,BIA,491
858,1996,ND,FS,10
859,1996,ND,FWS,24
860,1996,ND,NPS,2
861,1996,NE,BIA,30
862,1996,NE,FS,10
863,1996,NE,FWS,18
864,1996,NE,ST/C&L,1
865,1996,NH,FS,8
866,1996,NH,ST/C&L,75
867,1996,NJ,NPS,3
868,1996,NJ,ST/C&L,765
869,1996,NM,BIA,402
870,1996,NM,BLM,126
871,1996,NM,FS,716
872,1996,NM,FWS,7
873,1996,NM,NPS,29
874,1996,NM,ST/C&L,821
875,1996,NV,BLM,858
876,1996,NV,FS,196
877,1996,NV,FWS,9
878,1996,NV,NPS,16
879,1996,NV,TRIBE,8
880,1996,NY,FWS,1
881,1996,NY,NPS,27
882,1996,NY,ST/C&L,79
883,1996,OH,FS,9
884,1996,OK,BIA,122
885,1996,OK,FS,78
886,1996,OK,FWS,42
887,1996,OK,NPS,6
888,1996,OK,ST/C&L,2369
889,1996,OK,TRIBE,69
890,1996,OR,BIA,93
891,1996,OR,BLM,449
892,1996,OR,FS,1372
893,1996,OR,FWS,21
894,1996,OR,NPS,19
895,1996,OR,ST/C&L,921
896,1996,PA,FS,7
897,1996,PA,FWS,1
898,1996,PA,NPS,4
899,1996,PR,FWS,3
900,1996,SC,FS,107
901,1996,SC,FWS,3
902,1996,SC,NPS,1
903,1996,SC,ST/C&L,4303
904,1996,SD,BIA,643
905,1996,SD,BLM,3
906,1996,SD,FS,121
907,1996,SD,FWS,3
908,1996,SD,NPS,6
909,1996,SD,ST/C&L,63
910,1996,TN,FS,43
911,1996,TN,FWS,3
912,1996,TN,NPS,10
913,1996,TX,FS,146
914,1996,TX,FWS,100
915,1996,TX,NPS,61
916,1996,TX,ST/C&L,2535
917,1996,UT,BIA,70
918,1996,UT,BLM,583
919,1996,UT,FS,473
920,1996,UT,NPS,43
921,1996,UT,ST/C&L,497
922,1996,VA,FS,20
923,1996,VA,NPS,13
924,1996,VA,ST/C&L,791
925,1996,WA,BIA,171
926,1996,WA,BLM,33
927,1996,WA,FS,229
928,1996,WA,FWS,17
929,1996,WA,NPS,36
930,1996,WA,ST/C&L,598
931,1996,WA,TRIBE,7
932,1996,WI,BIA,85
933,1996,WI,FS,16
934,1996,WI,FWS,9
935,1996,WI,ST/C&L,1351
936,1996,WV,FS,5
937,1996,WV,NPS,12
938,1996,WV,ST/C&L,634
939,1996,WY,BIA,80
940,1996,WY,BLM,193
941,1996,WY,FS,244
942,1996,WY,FWS,2
943,1996,WY,NPS,23
944,1996,WY,ST/C&L,490
945,1997,AK,BLM,230
946,1997,AK,FS,32
947,1997,AK,FWS,4
948,1997,AK,NPS,6
949,1997,AK,ST/C&L,448
950,1997,AL,FS,46
951,1997,AL,FWS,11
952,1997,AL,NPS,3
953,1997,AL,ST/C&L,2531
